,history_generator_loss,history_discriminator_loss
181,"tf.Tensor(1.9594653, shape=(), dtype=float32)","tf.Tensor(0.43326277, shape=(), dtype=float32)"
182,"tf.Tensor(1.85724, shape=(), dtype=float32)","tf.Tensor(0.5039095, shape=(), dtype=float32)"
183,"tf.Tensor(1.6718236, shape=(), dtype=float32)","tf.Tensor(0.5470606, shape=(), dtype=float32)"
184,"tf.Tensor(1.7101446, shape=(), dtype=float32)","tf.Tensor(0.471713, shape=(), dtype=float32)"
185,"tf.Tensor(1.9970793, shape=(), dtype=float32)","tf.Tensor(0.38557196, shape=(), dtype=float32)"
186,"tf.Tensor(2.1414592, shape=(), dtype=float32)","tf.Tensor(0.4816998, shape=(), dtype=float32)"
187,"tf.Tensor(2.0567882, shape=(), dtype=float32)","tf.Tensor(0.5389465, shape=(), dtype=float32)"
188,"tf.Tensor(1.7816516, shape=(), dtype=float32)","tf.Tensor(0.560506, shape=(), dtype=float32)"
189,"tf.Tensor(1.47923, shape=(), dtype=float32)","tf.Tensor(0.56682974, shape=(), dtype=float32)"
190,"tf.Tensor(1.6034054, shape=(), dtype=float32)","tf.Tensor(0.5979554, shape=(), dtype=float32)"
191,"tf.Tensor(1.7437454, shape=(), dtype=float32)","tf.Tensor(0.5029289, shape=(), dtype=float32)"
192,"tf.Tensor(1.9590354, shape=(), dtype=float32)","tf.Tensor(0.5302047, shape=(), dtype=float32)"
193,"tf.Tensor(1.8669729, shape=(), dtype=float32)","tf.Tensor(0.6447889, shape=(), dtype=float32)"
194,"tf.Tensor(1.685183, shape=(), dtype=float32)","tf.Tensor(0.51842743, shape=(), dtype=float32)"
195,"tf.Tensor(1.5339079, shape=(), dtype=float32)","tf.Tensor(0.6077341, shape=(), dtype=float32)"
196,"tf.Tensor(1.4277525, shape=(), dtype=float32)","tf.Tensor(0.64985627, shape=(), dtype=float32)"
197,"tf.Tensor(1.6798747, shape=(), dtype=float32)","tf.Tensor(0.7307972, shape=(), dtype=float32)"
198,"tf.Tensor(1.785846, shape=(), dtype=float32)","tf.Tensor(0.6587271, shape=(), dtype=float32)"
199,"tf.Tensor(1.8043768, shape=(), dtype=float32)","tf.Tensor(0.62759554, shape=(), dtype=float32)"
200,"tf.Tensor(1.6105673, shape=(), dtype=float32)","tf.Tensor(0.69630814, shape=(), dtype=float32)"
201,"tf.Tensor(1.3889985, shape=(), dtype=float32)","tf.Tensor(0.78073317, shape=(), dtype=float32)"
202,"tf.Tensor(1.3048124, shape=(), dtype=float32)","tf.Tensor(0.6878086, shape=(), dtype=float32)"
203,"tf.Tensor(1.5826929, shape=(), dtype=float32)","tf.Tensor(0.7001282, shape=(), dtype=float32)"
204,"tf.Tensor(1.8327867, shape=(), dtype=float32)","tf.Tensor(0.7763895, shape=(), dtype=float32)"
205,"tf.Tensor(1.5507971, shape=(), dtype=float32)","tf.Tensor(0.8498659, shape=(), dtype=float32)"
206,"tf.Tensor(1.1722554, shape=(), dtype=float32)","tf.Tensor(0.8597318, shape=(), dtype=float32)"
207,"tf.Tensor(1.035769, shape=(), dtype=float32)","tf.Tensor(0.914521, shape=(), dtype=float32)"
